DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
22,12.94,10.54,8.8,628.1103605333334,1317.0365133653388,718.7626519999999,344,12
27,12.03,9.6,9.78,591.0906815999998,1026.2207108888151,554.3424,344,12
28,12.88,11.43,9.4,724.2163824,1476.9936384624375,841.3531560000001,344,12
29,14.4,13.39,9.6,968.707584,2213.8596675999693,1290.9031200000002,344,12
34,12.01,10.67,9.58,642.4677520066667,1199.4899812895383,683.6626444999999,344,12
35,13.07,10.65,9.86,718.2580597,1357.9171635755426,741.2160375000001,344,12
36,12.96,11.29,9.81,751.18403376,1463.4702549978595,825.967368,344,12
37,13.56,11.71,11.05,918.2422262000001,1654.4755806737078,929.7013980000003,344,12
40,13.56,11.71,11.05,918.2422262000001,1654.4755806737078,929.7013980000003,344,12
42,14.51,10.98,10.35,862.9556967,1662.800373828612,874.6657020000001,344,12
43,13.13,12.54,9.04,778.94911952,1746.9435778357665,1032.356754,344,12
47,14.19,10.15,10.35,780.13037025,1429.249803587509,730.9446375,344,12
48,13.08,10.53,10.2,735.2155511999999,1336.5636862961921,725.1610859999998,344,12
49,13.1,11.66,9.81,784.1826894000001,1560.9545348351996,890.50918,344,12
50,14.0,10.26,11.28,847.9356479999998,1423.4708542066467,736.8732,344,12
51,14.85,12.24,8.79,836.1325764,2026.2698941857589,1112.3956799999999,344,12
54,14.74,9.94,11.31,867.2111848400001,1466.4298303254436,728.1825319999999,344,12
55,14.48,12.25,10.02,930.1452439999999,1953.4057442547492,1086.4525,344,12
56,14.56,11.26,10.46,897.4491441066668,1735.7418425456617,923.013728,344,12
57,14.96,12.24,11.88,1138.4339788800003,2048.8256455871974,1120.635648,344,12
61,15.58,12.38,9.72,981.1440187200001,2214.968894531132,1193.9296760000002,344,12
62,16.0,12.49,9.93,1038.508528,2335.926191388776,1248.0008,344,12
63,16.49,13.32,10.44,1200.0622564799999,2691.676143594496,1462.8476879999998,344,12
64,17.44,14.59,13.48,1795.0231848533335,3356.125119607362,1856.2098320000002,344,12
0,7.1,7.05,4.09,107.13939049999999,292.82400969159903,176.443875,439,13
1,8.59,7.68,7.86,271.36593408,443.06460847271273,253.329408,439,13
6,8.97,8.35,7.79,305.34778495,535.9865139060281,312.7054125,439,13
7,9.84,7.86,7.86,318.14022816,562.4215479209352,303.955632,439,13
8,8.26,7.7,8.35,277.93013966666666,419.41276415173814,244.8677,439,13
13,9.46,8.08,7.47,298.81438224,552.5724528233628,308.80467200000004,439,13
14,11.32,9.84,8.69,506.57027167999996,972.0705202145759,548.0328959999999,439,13
15,8.66,7.73,7.88,276.0590576266667,452.8783541297789,258.73005700000004,439,13
16,10.61,10.22,9.2,522.0745282666666,933.651725543712,554.098762,439,13
19,11.49,11.18,7.71,518.31599118,1203.866232488854,718.081338,439,13
21,10.51,9.37,8.13,418.99732489,808.0699280880648,461.37270949999987,439,13
22,12.04,11.24,7.43,526.2111056533333,1301.7412941949692,760.552352,439,13
26,10.27,9.44,6.97,353.63367450666664,789.3127924177678,457.59833599999996,439,13
27,12.0,11.21,9.06,637.813128,1290.0774161044183,753.9846000000001,439,13
28,13.0,10.61,7.93,572.4140976666667,1339.4410015181968,731.7186499999999,439,13
29,11.46,9.96,9.22,550.7484388800002,1008.3270516971912,568.4251680000001,439,13
30,11.42,9.7,9.98,578.5578321333332,964.0337576791488,537.2538999999999,439,13
33,13.22,11.4,9.0,709.83468,1529.818626314456,859.0356,439,13
34,14.78,12.64,11.15,1090.1211685333333,2111.386530437478,1180.6973440000002,439,13
35,13.89,11.82,11.39,978.63747918,1739.4624902705084,970.302618,439,13
36,14.16,13.0,10.17,979.7289840000001,2065.120477527604,1196.52,439,13
40,16.35,13.8,15.53,1833.777741,2802.4040357597055,1556.8470000000004,439,13
0,5.5,5.22,4.24,63.70557599999999,127.19946169384527,74.9331,448,14
1,8.2,7.6,4.5,146.76359999999997,406.7959791681201,236.81599999999997,448,14
6,7.19,6.89,5.12,132.73836714666666,288.30863708547247,170.6621995,448,14
7,7.16,6.93,5.14,133.47126408,289.00467631218214,171.92914199999998,448,14
8,6.44,6.21,6.56,137.29657536,209.1229448376051,124.176402,448,14
13,7.05,6.18,6.3,143.64699299999998,237.79453682533483,134.62821,448,14
14,7.21,5.97,5.15,116.00994545,233.50698611490546,128.48544449999997,448,14
15,7.87,7.73,7.04,224.13273109333335,392.34382708848744,235.12766150000002,448,14
16,7.3,7.22,6.8,187.5630853333333,316.39205637973816,190.26865999999998,448,14
19,7.7,7.49,6.57,198.2970759,362.15484439445447,215.98538500000004,448,14
21,8.96,8.64,7.73,313.1696332800001,563.2070893760704,334.43020800000005,448,14
22,8.65,7.8,7.74,273.29398199999997,458.24902528961644,263.133,448,14
26,7.27,7.16,6.26,170.5297534133333,310.5321959033277,186.35045599999998,448,14
27,8.1,7.5,8.17,259.74472499999996,391.5208618803943,227.8125,448,14
28,9.87,8.81,6.19,281.68395367,670.4634018230553,383.03545349999996,448,14
