DAY,L,W,H,VOL_A,VOL_B,VOL_C,animal,ID
26,16.83,15.65,11.37,1567.2465418499999,3534.5422018401177,2061.0228374999997,105.0,9
0,6.0,6.0,6.0,113.03999999999999,178.60320000000004,108.0,110.0,10
6,6.6,6.36,4.44,97.5354336,224.8728693277672,133.48368,110.0,10
7,7.99,7.43,6.37,197.90347637666667,378.21510911510677,220.54357549999997,110.0,10
8,9.85,8.2,5.13,216.843219,600.2202024153885,331.157,110.0,10
11,9.33,8.64,6.42,270.83750976,598.4509544832849,348.240384,110.0,10
12,9.82,9.78,7.08,355.84592591999996,778.2354297623962,469.63364399999995,110.0,10
13,11.44,10.38,6.48,402.69550464,1069.9674145119452,616.2979680000001,110.0,10
14,11.85,10.96,8.16,554.6224704,1223.8518294607848,711.7204800000001,110.0,10
15,11.46,10.6,8.22,522.5654568,1107.0601268204384,643.8228,110.0,10
18,11.39,10.37,7.78,480.90630959333333,1061.4247382191845,612.4226454999999,110.0,10
19,11.9,11.31,8.88,625.4620008,1291.070131932964,761.1007950000001,110.0,10
20,13.24,12.43,8.26,711.4060574133332,1745.7182626443764,1022.8224379999999,110.0,10
21,12.75,12.37,6.8,561.26401,1637.7790492459574,975.4827375,110.0,10
25,12.5,11.85,9.16,710.07175,1490.658049741232,877.6406249999999,110.0,10
26,11.71,10.34,8.86,561.4221634266665,1101.6702847091744,625.990838,110.0,10
27,15.36,15.1,10.13,1229.5777792,2920.705235305578,1751.1167999999998,110.0,10
28,13.69,12.36,10.5,929.8001579999999,1819.9873231162385,1045.7079119999999,110.0,10
32,13.8,13.05,9.3,876.4980300000002,1998.3423015442718,1175.08725,110.0,10
33,15.9,15.39,11.49,1471.4115831000001,3165.112134037624,1882.974195,110.0,10
0,6.23,5.81,5.0,94.71365166666666,180.06601492291145,105.1502515,114.0,11
1,6.35,6.33,5.45,114.64426524999999,210.71800097775574,127.2187575,114.0,11
2,8.32,7.04,5.31,162.76795392,370.66319320014185,206.176256,114.0,11
3,8.97,7.93,7.59,282.54381441,496.059681607126,282.0387765,114.0,11
6,8.44,6.91,7.83,238.97950308,368.269901492988,201.496982,114.0,11
7,9.33,7.14,7.62,265.65208235999995,449.57822458638134,237.819834,114.0,11
9,9.04,8.51,7.43,299.1336030133333,557.9335410432319,327.3388519999999,114.0,11
13,8.35,7.18,7.06,221.51034753333332,383.8414438260661,215.23127,114.0,11
14,9.77,8.4,7.72,331.56566239999995,614.7467753315657,344.6856,114.0,11
15,10.64,8.9,8.16,404.3897984000001,761.9613394033238,421.39720000000005,114.0,11
16,9.76,8.54,7.9,344.59833706666666,629.2120297174887,355.90620799999994,114.0,11
17,9.23,8.34,7.91,318.65639078,558.4536221588066,320.999094,114.0,11
20,11.34,9.18,10.23,557.3265944399999,878.2518803203798,477.8245079999999,114.0,11
21,11.2,9.1,9.0,480.0431999999999,850.7943695439211,463.7359999999999,114.0,11
22,11.43,9.76,9.82,573.30526944,974.2705090159722,544.3971839999999,114.0,11
23,13.47,11.27,8.06,640.3316246600001,1546.5812913058742,855.4318814999999,114.0,11
27,14.2,11.14,9.23,764.1060422666666,1645.1132015940966,881.10716,114.0,11
28,15.08,11.33,7.66,684.9177458933334,1846.6405237530241,967.9015059999999,114.0,11
29,15.3,11.98,9.43,904.5619998,2051.9078735654166,1097.9310600000003,114.0,11
30,14.68,12.36,8.51,808.0765131199998,2020.9346684946288,1121.328864,114.0,11
31,15.84,13.02,8.92,962.7408806399999,2448.9771154971213,1342.601568,114.0,11
34,15.45,11.11,10.2,916.2650309999999,1859.513341697795,953.5129724999999,114.0,11
35,15.93,13.03,9.67,1050.42503367,2472.7247278800874,1352.3048684999997,114.0,11
36,17.75,14.24,13.39,1771.1988493333333,3322.7525860555374,1799.6512,114.0,11
0,5.41,5.0,5.0,70.78083333333333,116.32856982927991,67.625,123.0,12
1,5.89,5.73,5.11,90.25457272999999,162.12140535240445,96.6928905,123.0,12
2,7.03,6.65,6.82,166.8551987666667,264.3022985891003,155.4420875,123.0,12
6,7.51,7.27,6.59,188.29472783666665,333.577697326611,198.46263949999997,123.0,12
7,7.52,7.24,6.8,193.75089493333334,332.1774102016743,197.09017599999999,123.0,12
10,7.1,7.06,5.73,150.31283620000002,293.4472603798073,176.94477999999998,123.0,12
13,7.58,5.32,4.54,95.81093722666667,211.74186868309047,107.266096,123.0,12
14,11.72,10.03,4.11,252.84173644,1053.848791163073,589.521274,123.0,12
20,11.19,10.8,9.51,601.4683187999999,1098.540942503152,652.6008,123.0,12
21,10.78,10.4,9.53,559.1436517333333,981.5527290261116,582.9824,123.0,12
22,12.68,12.53,10.34,859.7442125066665,1655.926176604764,995.3857059999998,123.0,12
23,12.53,11.81,9.82,760.4853532733333,1488.4592096320118,873.8177665,123.0,12
24,13.24,12.71,9.74,857.7700735733334,1805.0356681078667,1069.4219420000002,123.0,12
27,13.38,12.63,10.34,914.44670724,1816.455156006699,1067.1680610000003,123.0,12
28,15.53,15.5,14.41,1815.2879818333333,3088.091894735257,1865.54125,123.0,12
0,8.88,7.61,7.16,253.21477472000004,459.3375170256108,257.129724,159.0,13
1,11.15,9.73,7.12,404.24634226666666,934.3660415432271,527.8014175000001,159.0,13
4,9.73,9.56,6.86,333.9436932533334,741.8081209498959,444.62986400000005,159.0,13
5,11.04,10.15,8.02,470.31397279999993,980.8173917529094,568.6842,159.0,13
6,10.6,9.91,7.84,430.9967349333333,890.2352039569441,520.50293,159.0,13
7,9.8,9.56,7.19,352.5260834666667,749.8276250445712,447.82864000000006,159.0,13
11,11.39,9.6,7.1,406.28585599999997,945.4268244711097,524.8512000000001,159.0,13
12,11.14,10.3,6.67,400.5222499333334,1016.2934064594283,590.9213000000001,159.0,13
13,10.53,9.51,7.84,410.86897487999994,828.6074177784407,476.1671265,159.0,13
14,9.53,8.31,7.84,324.92893327999997,582.742068602301,329.0523165000001,159.0,13
18,10.63,9.55,6.98,370.8262389666667,845.7469471354868,484.7412875000001,159.0,13
19,9.37,8.24,8.17,330.1165189066666,560.9649007113928,318.10025599999994,159.0,13
22,9.28,8.03,5.19,202.39942623999997,531.9009511007507,299.19137599999993,159.0,13
25,9.09,7.64,6.55,238.05479819999996,478.54341813593936,265.289832,159.0,13
26,12.12,10.25,5.83,379.02987099999996,1144.9201860696733,636.6787499999999,159.0,13
32,15.43,11.99,7.99,773.5890008366666,2080.717636737509,1109.1091715,159.0,13
33,15.61,11.01,8.75,787.0035162499998,1863.0341584596697,946.1228805,159.0,13
34,16.43,11.62,8.38,837.2711131866666,2181.2277884217838,1109.225446,159.0,13
35,17.96,13.63,10.8,1383.5802096000002,3166.932208132867,1668.2765620000002,159.0,13
36,16.84,12.53,9.96,1099.8435044799999,2534.4003616439845,1321.9475779999998,159.0,13
39,18.29,14.28,11.84,1618.3483635199998,3490.1842472186436,1864.8337679999997,159.0,13
0,4.53,4.24,3.64,36.58843552,69.60357916754384,40.71926400000001,163.0,14
1,5.97,5.81,3.67,66.61851161,168.91226280804403,100.76195849999999,163.0,14
3,5.66,5.54,4.31,70.72645062666666,145.18601280294914,86.857228,163.0,14
6,5.57,5.23,4.11,62.65808299000001,130.00821954876568,76.17782650000002,163.0,14
8,6.6,6.15,5.58,118.53091800000001,213.82774778444488,124.81425000000002,163.0,14
9,7.13,6.75,6.03,151.87595174999998,276.07395609717645,162.43031249999999,163.0,14
13,6.97,6.65,6.07,147.2385433166667,260.9258577101975,154.11541250000002,163.0,14
14,7.81,7.54,5.57,171.65480808666666,373.6534996827731,222.005498,163.0,14
15,8.98,8.58,6.68,269.35093328,559.2177160343158,330.537636,163.0,14
16,8.7,8.5,5.56,215.17477999999994,525.8268423389377,314.28749999999997,163.0,14
17,8.34,7.13,4.92,153.10842215999998,379.156805340756,211.989873,163.0,14
20,9.9,9.83,7.29,371.27408670000005,793.813633101372,478.313055,163.0,14
21,11.33,11.02,7.57,494.6360684466667,1153.5933429942788,687.959866,163.0,14
22,10.13,10.02,7.62,404.77206828000004,845.5732490646056,508.528026,163.0,14
23,9.32,9.2,6.48,290.7750528,656.5096198417073,394.4223999999999,163.0,14
27,12.21,11.75,7.46,560.1066845,1420.9074144973833,842.8715625000001,163.0,14
28,11.5,11.26,7.08,479.78634800000003,1218.3998334095843,729.0287,163.0,14
29,11.91,11.71,7.31,533.53686329,1361.8788316370944,816.5740155000002,163.0,14
30,12.78,12.37,7.85,649.4543168999999,1643.5628447914248,977.7779909999999,163.0,14
31,13.84,12.54,8.7,790.1895407999999,1890.54023497822,1088.1810719999999,163.0,14
34,12.24,11.69,8.96,670.93791744,1415.2376642627028,836.3353319999999,163.0,14
35,13.14,12.16,9.14,764.2818278399999,1670.047773892213,971.476992,163.0,14
36,13.98,13.34,8.51,830.5598990799999,2105.8623794538194,1243.909644,163.0,14
37,14.81,13.88,10.31,1109.1277915866667,2436.981720480839,1426.6058320000002,163.0,14
42,15.72,15.71,13.83,1787.4310772400001,3209.0654499039924,1939.8802260000004,163.0,14
0,5.39,5.38,5.92,89.84029002666665,129.11956252297344,78.005158,171.0,15
1,8.67,8.01,6.5,236.23452449999996,478.5341157047332,278.1340335,171.0,15
6,9.24,9.15,7.56,334.49779440000003,642.7988373552953,386.79795000000007,171.0,15
7,9.38,8.99,8.69,383.4958814866667,640.2937753273749,379.0462690000001,171.0,15
8,9.43,9.25,7.59,346.47635274999993,673.6210079294609,403.4271875,171.0,15
9,11.2,10.06,8.47,499.4336629333333,988.916196251785,566.7401600000001,171.0,15
12,10.71,10.7,9.08,544.5496644,1014.3675731319215,613.09395,171.0,15
14,12.94,12.3,10.5,874.59519,1660.3305780166013,978.8463,171.0,15
15,13.12,13.05,11.21,1004.4500784,1852.4735029329806,1117.1844,171.0,15
19,12.5,12.44,9.36,761.7012,1603.360110391173,967.2099999999998,171.0,15
20,13.76,12.91,12.8,1189.9618645333333,1957.7286609262635,1146.676528,171.0,15
21,13.92,12.34,11.02,990.6366406399999,1861.5173017800257,1059.838176,171.0,15
22,12.75,11.33,10.45,790.01399125,1435.64025252588,818.3517375,171.0,15
23,12.94,12.6,11.18,953.9487047999999,1721.4432766448,1027.1771999999999,171.0,15
26,13.36,12.83,12.62,1132.063705973333,1855.6033863941527,1099.587452,171.0,15
27,16.04,15.64,13.92,1827.50572288,3285.467334822339,1961.768992,171.0,15
0,5.19,4.51,4.09,50.10090898999999,93.63782862096687,52.782559500000005,225.0,16
1,6.65,5.87,4.5,91.92860250000001,201.66248033798215,114.56919250000003,225.0,16
5,8.19,6.86,6.19,182.00237874,348.2150285670388,192.709062,225.0,16
6,7.42,7.17,6.0,167.052396,320.86332236023543,190.72701899999998,225.0,16
7,7.27,7.06,5.82,156.32933996,304.0494012473088,181.18148599999998,225.0,16
12,9.2,8.76,6.61,278.7865328,598.2371583710087,352.99296,225.0,16
13,10.87,8.71,9.03,447.41840688999997,761.7404765554977,412.3213835000001,225.0,16
14,12.48,11.47,8.37,627.0206716799999,1416.127933734215,820.940016,225.0,16
19,11.09,11.0,8.95,571.3808283333332,1114.0939904568418,670.9449999999999,225.0,16
20,12.26,11.39,7.98,583.17041468,1364.4473306797565,795.257773,225.0,16
21,11.87,11.16,7.89,546.97857372,1260.6886850865735,739.178136,225.0,16
22,11.69,11.29,7.87,543.5776391966667,1253.7131013303976,745.0276644999999,225.0,16
25,13.36,12.21,8.32,710.27061248,1722.7357560868209,995.8817880000001,225.0,16
27,13.3,12.32,8.57,734.8886981333335,1734.3191033747314,1009.35296,225.0,16
28,14.49,14.03,9.42,1002.20221206,2396.7601177680244,1426.1123205,225.0,16
32,16.12,15.33,11.21,1449.7436080400003,3212.1533689772054,1894.1717340000002,225.0,16
0,4.98,4.9,4.38,55.93426440000001,99.67210235962179,59.784900000000015,256.0,17
1,6.62,5.92,5.33,109.31639541333332,202.8640207352655,116.003584,256.0,17
3,9.66,8.96,6.91,312.99801343999997,665.8297388920967,387.76012800000007,256.0,17
6,10.61,10.01,7.15,397.4055251833333,905.0231257247951,531.5615304999999,256.0,17
8,10.19,9.51,8.22,416.87410242,788.8011517517447,460.7923095,256.0,17
12,9.3,8.54,8.59,357.03630619999996,585.257130319465,339.13194,256.0,17
13,10.13,10.05,9.69,516.27094215,849.3735747279385,511.5776625000001,256.0,17
14,11.99,11.18,10.13,710.6386592066667,1283.2963665081909,749.329438,256.0,17
15,11.19,9.56,9.81,549.20613996,914.8869921597408,511.347192,256.0,17
16,11.91,11.36,9.76,691.0640614399999,1301.279607407577,768.490368,256.0,17
17,12.61,12.06,10.93,869.8832212200001,1550.7046036857305,917.021898,256.0,17
20,13.86,12.59,10.99,1003.6101629399999,1905.9825720804663,1098.4611329999998,256.0,17
21,13.56,12.21,10.43,903.72866892,1761.5643591670478,1010.7901980000003,256.0,17
22,13.99,13.4,9.27,909.4538057999999,2122.3609871633544,1256.0222,256.0,17
23,14.32,13.76,12.31,1269.3982711466667,2287.060548588479,1355.6572159999998,256.0,17
27,16.33,14.79,14.23,1798.6127035899997,3103.6091440533555,1786.0455764999997,256.0,17
0,6.65,5.27,5.2,95.37048733333332,171.54729540829254,92.34489249999999,416.0,18
1,6.43,5.22,5.0,87.82736999999999,160.78950511981634,87.60360599999998,416.0,18
2,6.84,6.62,4.54,107.58416207999998,251.94550902609558,149.87944800000002,416.0,18
7,4.88,4.48,3.85,44.04909226666667,84.52442764723614,48.971776000000006,416.0,18
8,5.96,5.39,4.45,74.81237353333334,150.55251748811156,86.57525799999999,416.0,18
9,6.04,5.43,4.72,81.01345695999998,155.30685919575137,89.04439799999999,416.0,18
